# X(mm) 	 Y(mm) 	 Z(mm) 	 color
2.49927	-9.24465	18.6629	2
2.61255	-9.55429	16.3175	2
2.72584	-9.86393	13.9722	2
2.83912	-10.1736	11.6268	2
2.95241	-10.4832	9.28144	2
-3.8	2.8	51.4038	2
-1.52469	3.25186	50.926	2
0.750616	3.70372	50.4483	2
3.02592	4.15558	49.9706	2
5.30123	4.60744	49.4929	2
7.57654	5.0593	49.0152	2
9.85185	5.51116	48.5374	2
12.1272	5.96302	48.0597	2
14.4025	6.41488	47.582	2
16.6778	6.86674	47.1043	2
18.9531	7.3186	46.6266	2
21.2284	7.77046	46.1489	2
23.5037	8.22232	45.6711	2
25.779	8.67418	45.1934	2
28.0543	9.12605	44.7157	2
30.3296	9.57791	44.238	2
32.6049	10.0298	43.7603	2
34.8802	10.4816	43.2826	2
37.1555	10.9335	42.8048	2
39.4309	11.3853	42.3271	2
-3.4	1.2	37.8123	2
-2.57174	0.579755	39.9427	2
-1.74349	-0.0404907	42.0731	2
-0.915231	-0.660736	44.2035	2
-0.0869753	-1.28098	46.3339	2
0.741281	-1.90123	48.4644	2
1.56954	-2.52147	50.5948	2
2.39779	-3.14172	52.7252	2
3.22605	-3.76196	54.8556	2
4.05431	-4.38221	56.9861	2
4.88256	-5.00245	59.1165	2
5.71082	-5.6227	61.2469	2
6.53907	-6.24294	63.3773	2
7.36733	-6.86319	65.5078	2
8.19559	-7.48343	67.6382	2
9.02384	-8.10368	69.7686	2
9.8521	-8.72393	71.899	2
10.6804	-9.34417	74.0295	2
11.5086	-9.96442	76.1599	2
12.3369	-10.5847	78.2903	2
-4.4	-4	37.9865	2
-2.57458	-4.06591	36.4789	2
-0.749169	-4.13181	34.9712	2
1.07625	-4.19772	33.4636	2
2.90166	-4.26363	31.956	2
4.72708	-4.32953	30.4484	2
6.55249	-4.39544	28.9407	2
8.37791	-4.46135	27.4331	2
10.2033	-4.52725	25.9255	2
12.0287	-4.59316	24.4179	2
13.8542	-4.65906	22.9102	2
15.6796	-4.72497	21.4026	2
17.505	-4.79088	19.895	2
19.3304	-4.85678	18.3874	2
21.1558	-4.92269	16.8797	2
22.9812	-4.9886	15.3721	2
24.8066	-5.0545	13.8645	2
26.6321	-5.12041	12.3569	2
28.4575	-5.18632	10.8492	2
30.2829	-5.25222	9.34162	2
-0.4	-3.8	31.8878	2
-1.65624	-5.3687	33.1409	2
-2.91248	-6.93741	34.3941	2
-4.16872	-8.50611	35.6473	2
-5.42496	-10.0748	36.9004	2
-6.6812	-11.6435	38.1536	2
-7.93744	-13.2122	39.4068	2
-9.19368	-14.7809	40.66	2
-10.4499	-16.3496	41.9131	2
-11.7062	-17.9183	43.1663	2
-12.9624	-19.487	44.4195	2
-14.2186	-21.0557	45.6727	2
-15.4749	-22.6244	46.9258	2
-16.7311	-24.1932	48.179	2
-17.9874	-25.7619	49.4322	2
